GID,SEAS,Date,WEEK,V,H,PTSV,PTSH,Winner,Loser,home_win,Win_Margin,hGames,vGames,hWinP,vWinP
222500009,2002,9/7/2002,36,UCF,Arizona State,13,46,Arizona State,UCF,1,33,2,1,0.5,0
222500025,2002,9/7/2002,36,New Mexico St,California,13,34,California,New Mexico St,1,21,1,0,1,0
222500026,2002,9/7/2002,36,Colorado State,UCLA,19,30,UCLA,Colorado State,1,11,0,2,0,1
222500038,2002,9/7/2002,36,San Diego State,Colorado,14,34,Colorado,San Diego State,1,20,1,1,0,0
222500041,2002,9/7/2002,36,Georgia Tech,Connecticut,31,14,Georgia Tech,Connecticut,0,17,1,1,0,1
222500057,2002,9/7/2002,36,Miami (FL),Florida,41,16,Miami (FL),Florida,0,25,1,1,1,1
222500066,2002,9/7/2002,36,Tenn Tech,Iowa State,6,58,Iowa State,Tenn Tech,1,52,2,0,0.5,0
222500077,2002,9/7/2002,36,TCU,Northwestern,48,24,TCU,Northwestern,0,24,1,1,0,0
222500087,2002,9/7/2002,36,Purdue,Notre Dame,17,24,Notre Dame,Purdue,1,7,1,1,1,1
222500096,2002,9/7/2002,36,UTEP,Kentucky,17,77,Kentucky,UTEP,1,60,1,1,1,1
222500099,2002,9/7/2002,36,Citadel,LSU,10,35,LSU,Citadel,1,25,1,0,0,0
222500103,2002,9/7/2002,36,Stanford,Boston College,27,34,Boston College,Stanford,1,7,1,0,1,0
222500120,2002,9/7/2002,36,Akron,Maryland,14,44,Maryland,Akron,1,30,1,1,0,0
222500127,2002,9/7/2002,36,Rice,Michigan State,10,27,Michigan State,Rice,1,17,1,1,1,0
222500130,2002,9/7/2002,36,W Michigan,Michigan,12,35,Michigan,W Michigan,1,23,1,0,1,0
222500142,2002,9/7/2002,36,Ball State,Missouri,6,41,Missouri,Ball State,1,35,0,0,0,0
222500145,2002,9/7/2002,36,Memphis,Ole Miss,16,38,Ole Miss,Memphis,1,22,1,1,1,1
222500150,2002,9/7/2002,36,Louisville,Duke,40,3,Louisville,Duke,0,37,1,1,1,0
222500154,2002,9/7/2002,36,East Carolina,Wake Forest,22,27,Wake Forest,East Carolina,1,5,1,1,0,0
222500158,2002,9/7/2002,36,Utah State,Nebraska,13,44,Nebraska,Utah State,1,31,2,1,1,0
222500164,2002,9/7/2002,36,Buffalo,Rutgers,34,11,Buffalo,Rutgers,0,23,1,0,0,0
222500183,2002,9/7/2002,36,North Carolina,Syracuse,30,22,North Carolina,Syracuse,0,8,1,1,0,0
222500193,2002,9/7/2002,36,Iowa,Miami (OH),29,24,Iowa,Miami (OH),0,5,1,1,1,1
222500194,2002,9/7/2002,36,Kent State,Ohio State,17,51,Ohio State,Kent State,1,34,1,0,1,0
222500197,2002,9/7/2002,36,Northern Iowa,Oklahoma State,10,45,Oklahoma State,Northern Iowa,1,35,1,0,0,0
222500201,2002,9/7/2002,36,Alabama,Oklahoma,27,37,Oklahoma,Alabama,1,10,1,1,1,1
222500221,2002,9/7/2002,36,Texas A&M,Pittsburgh,14,12,Texas A&M,Pittsburgh,0,2,0,1,0,1
222500228,2002,9/7/2002,36,Louisiana Tech,Clemson,13,33,Clemson,Louisiana Tech,1,20,1,1,0,1
222500238,2002,9/7/2002,36,Furman,Vanderbilt,18,49,Vanderbilt,Furman,1,31,1,0,0,0
222500239,2002,9/7/2002,36,Samford,Baylor,12,50,Baylor,Samford,1,38,1,0,0,0
222500248,2002,9/7/2002,36,Tulane,Houston,34,13,Tulane,Houston,0,21,1,0,1,0
222500254,2002,9/7/2002,36,Indiana,Utah,13,40,Utah,Indiana,1,27,1,1,1,1
222500258,2002,9/7/2002,36,South Carolina,Virginia,21,34,Virginia,South Carolina,1,13,2,1,0,1
