GID,Date,H,PTSH,V,PTSV,SEAS
222500349,9/7/2002,Army,21,Holy Cross,30,2002
222570164,9/14/2002,Rutgers,44,Army,0,2002
222640349,9/21/2002,Army,14,Louisville,45,2002
222710349,9/28/2002,Army,6,Southern Miss,27,2002
222780151,10/5/2002,East Carolina,59,Army,24,2002
222850349,10/12/2002,Army,27,TCU,46,2002
222920248,10/19/2002,Houston,56,Army,42,2002
222990349,10/26/2002,Army,26,UAB,29,2002
223202655,11/16/2002,Tulane,10,Army,14,2002
223270235,11/23/2002,Memphis,38,Army,10,2002
223412426,12/7/2002,Navy,58,Army,12,2002
222450030,9/2/2002,USC,24,Auburn,17,2002
222500002,9/7/2002,Auburn,56,W Carolina,0,2002
222570002,9/14/2002,Auburn,31,Vanderbilt,6,2002
222620344,9/19/2002,Mississippi St,14,Auburn,42,2002
222710002,9/28/2002,Auburn,37,Syracuse,34,2002
222920057,10/19/2002,Florida,30,Auburn,23,2002
222990002,10/26/2002,Auburn,31,LSU,7,2002
223060145,11/2/2002,Ole Miss,24,Auburn,31,2002
223130002,11/9/2002,Auburn,52,UL Monroe,14,2002
223200002,11/16/2002,Auburn,21,Georgia,24,2002
230010002,1/1/2003,Auburn,13,Penn State,9,2002
222642046,9/21/2002,Austin Peay,0,Dayton,42,2002
222710294,9/28/2002,Jacksonville,16,Austin Peay,20,2002
222782653,10/5/2002,Troy,41,Austin Peay,3,2002
222852086,10/12/2002,Butler,23,Austin Peay,40,2002
222992046,10/26/2002,Austin Peay,25,Morehead State,45,2002
223132046,11/9/2002,Austin Peay,28,Davidson,49,2002
223202674,11/16/2002,Valparaiso,24,Austin Peay,28,2002
222500142,9/7/2002,Missouri,41,Ball State,6,2002
222640228,9/21/2002,Clemson,30,Ball State,7,2002
222710041,9/28/2002,Connecticut,21,Ball State,24,2002
222852649,10/12/2002,Toledo,37,Ball State,17,2002
222990189,10/26/2002,Bowling Green,38,Ball State,20,2002
223272050,11/23/2002,Ball State,41,Buffalo,21,2002
223340276,11/30/2002,Marshall,38,Ball State,14,2002
222430025,8/31/2002,California,70,Baylor,22,2002
222500239,9/7/2002,Baylor,50,Samford,12,2002
222570167,9/14/2002,New Mexico,23,Baylor,0,2002
222640239,9/21/2002,Baylor,37,Tulsa,25,2002
222780239,10/5/2002,Baylor,35,Kansas,32,2002
222850239,10/12/2002,Baylor,0,Texas A&M,41,2002
222920038,10/19/2002,Colorado,34,Baylor,0,2002
222990239,10/26/2002,Baylor,10,Kansas State,44,2002
223062641,11/2/2002,Texas Tech,62,Baylor,11,2002
223130251,11/9/2002,Texas,41,Baylor,0,2002
223200239,11/16/2002,Baylor,9,Oklahoma,49,2002
223270197,11/23/2002,Oklahoma State,63,Baylor,28,2002
222572417,9/14/2002,Morris Brown,7,Bethune-Cookman,42,2002
222430068,8/31/2002,Boise State,38,Idaho,21,2002
222572751,9/14/2002,Wyoming,13,Boise State,35,2002
222710068,9/28/2002,Boise State,63,Utah State,38,2002
222780068,10/5/2002,Boise State,58,Hawaii,31,2002
222850202,10/12/2002,Tulsa,24,Boise State,52,2002
222910068,10/18/2002,Boise State,67,Fresno State,21,2002
222990023,10/26/2002,San Jose State,8,Boise State,45,2002
223062638,11/2/2002,UTEP,3,Boise State,58,2002
223130068,11/9/2002,Boise State,49,Rice,7,2002
223200068,11/16/2002,Boise State,36,Louisiana Tech,10,2002
223272440,11/23/2002,Nevada,7,Boise State,44,2002
223650068,12/31/2002,Boise State,34,Iowa State,16,2002
222430103,8/31/2002,Boston College,24,Connecticut,16,2002
222500103,9/7/2002,Boston College,34,Stanford,27,2002
222642390,9/21/2002,Miami (FL),38,Boston College,6,2002
222710103,9/28/2002,Boston College,43,Cent Michigan,0,2002
222830103,10/10/2002,Boston College,23,Virginia Tech,28,2002
222920103,10/19/2002,Boston College,46,Navy,21,2002
222990221,10/26/2002,Pittsburgh,19,Boston College,16,2002
223060087,11/2/2002,Notre Dame,7,Boston College,14,2002
223130277,11/9/2002,West Virginia,24,Boston College,14,2002
223200103,11/16/2002,Boston College,41,Syracuse,20,2002
223270218,11/23/2002,Temple,14,Boston College,36,2002
223340103,11/30/2002,Boston College,44,Rutgers,14,2002
223602649,12/26/2002,Toledo,25,Boston College,51,2002
222570189,9/14/2002,Bowling Green,51,Missouri,28,2002
222642305,9/21/2002,Kansas,16,Bowling Green,39,2002
222780189,10/5/2002,Bowling Green,72,Ohio,21,2002
222920189,10/19/2002,Bowling Green,48,W Michigan,45,2002
223062309,11/2/2002,Kent State,14,Bowling Green,45,2002
223132459,11/9/2002,N Illinois,26,Bowling Green,17,2002
223200058,11/16/2002,South Florida,29,Bowling Green,7,2002
223342649,11/30/2002,Toledo,42,Bowling Green,24,2002
222710225,9/28/2002,Brown,24,Harvard,26,2002
222780227,10/5/2002,Rhode Island,38,Brown,28,2002
222852230,10/12/2002,Fordham,24,Brown,17,2002
222920163,10/19/2002,Princeton,16,Brown,14,2002
222990225,10/26/2002,Brown,7,Cornell,10,2002
223130225,11/9/2002,Brown,27,Yale,31,2002
223200159,11/16/2002,Dartmouth,18,Brown,21,2002
223270225,11/23/2002,Brown,35,Columbia,28,2002
222430227,8/31/2002,Rhode Island,28,Bryant,0,2002
222642083,9/21/2002,Bucknell,14,Cornell,3,2002
222712083,9/28/2002,Bucknell,27,Delaware State,13,2002
222782083,10/5/2002,Bucknell,10,Colgate,13,2002
222990046,10/26/2002,Georgetown,32,Bucknell,31,2002
223060107,11/2/2002,Holy Cross,38,Bucknell,21,2002
223132083,11/9/2002,Bucknell,3,Lafayette,19,2002
223202329,11/16/2002,Lehigh,24,Bucknell,0,2002
223272083,11/23/2002,Bucknell,7,Fordham,34,2002
222500164,9/7/2002,Rutgers,11,Buffalo,34,2002
222572084,9/14/2002,Buffalo,3,Connecticut,24,2002
222640135,9/21/2002,Minnesota,41,Buffalo,17,2002
222710195,9/28/2002,Ohio,34,Buffalo,32,2002
222992084,10/26/2002,Buffalo,12,Kent State,16,2002
222712413,9/28/2002,Morehead State,53,Butler,20,2002
222782168,10/5/2002,Dayton,41,Butler,0,2002
222922086,10/19/2002,Butler,26,San Diego,35,2002
222992086,10/26/2002,Butler,48,Drake,44,2002
223062674,11/2/2002,Valparaiso,22,Butler,52,2002
222410252,8/29/2002,BYU,42,Syracuse,21,2002
222490252,9/6/2002,BYU,35,Hawaii,32,2002
222572440,9/14/2002,Nevada,31,BYU,28,2002
222640059,9/21/2002,Georgia Tech,28,BYU,19,2002
222770328,10/4/2002,Utah State,34,BYU,35,2002
222920252,10/19/2002,BYU,3,UNLV,24,2002
222970036,10/24/2002,Colorado State,37,BYU,10,2002
223060252,11/2/2002,BYU,34,San Diego State,10,2002
223130252,11/9/2002,BYU,35,Wyoming,31,2002
223200252,11/16/2002,BYU,16,New Mexico,20,2002
223270254,11/23/2002,Utah,13,BYU,6,2002
222710013,9/28/2002,Cal Poly,26,Northern Iowa,29,2002
222850253,10/12/2002,Southern Utah,21,Cal Poly,27,2002
222500025,9/7/2002,California,34,New Mexico St,13,2002
222570127,9/14/2002,Michigan State,22,California,46,2002
222710025,9/28/2002,California,38,Washington St,48,2002
222780264,10/5/2002,Washington,27,California,34,2002
222850030,10/12/2002,USC,30,California,28,2002
222920025,10/19/2002,California,17,UCLA,12,2002
222990204,10/26/2002,Oregon State,24,California,13,2002
223270025,11/23/2002,California,30,Stanford,7,2002
222502117,9/7/2002,Central Michigan,32,Wyoming,20,2002
222640084,9/21/2002,Indiana,39,Central Michigan,29,2002
222430277,8/31/2002,West Virginia,56,Chattanooga,7,2002
222452132,9/2/2002,Cincinnati,36,TCU,29,2002
222572132,9/14/2002,Cincinnati,32,West Virginia,35,2002
222642132,9/21/2002,Cincinnati,19,Ohio State,23,2002
222710218,9/28/2002,Temple,22,Cincinnati,35,2002
222782132,10/5/2002,Cincinnati,26,Miami (OH),31,2002
222852655,10/12/2002,Tulane,35,Cincinnati,17,2002
222922572,10/19/2002,Southern Miss,23,Cincinnati,14,2002
222992132,10/26/2002,Cincinnati,48,Memphis,10,2002
223110097,11/7/2002,Louisville,14,Cincinnati,24,2002
223202132,11/16/2002,Cincinnati,47,Houston,14,2002
223270062,11/23/2002,Hawaii,20,Cincinnati,19,2002
223342132,11/30/2002,Cincinnati,31,UAB,23,2002
223400151,12/6/2002,East Carolina,26,Cincinnati,42,2002
223512132,12/17/2002,Cincinnati,19,North Texas,24,2002
222500099,9/7/2002,LSU,35,Citadel,10,2002
222782751,10/5/2002,Wyoming,34,Citadel,30,2002
222430061,8/31/2002,Georgia,31,Clemson,28,2002
222500228,9/7/2002,Clemson,33,Louisiana Tech,13,2002
222570228,9/14/2002,Clemson,24,Georgia Tech,19,2002
222760052,10/3/2002,Florida State,48,Clemson,31,2002
222850258,10/12/2002,Virginia,22,Clemson,17,2002
222920228,10/19/2002,Clemson,31,Wake Forest,23,2002
222970228,10/24/2002,Clemson,6,NC State,38,2002
223060150,11/2/2002,Duke,31,Clemson,34,2002
223130153,11/9/2002,North Carolina,12,Clemson,42,2002
223200228,11/16/2002,Clemson,12,Maryland,30,2002
223270228,11/23/2002,Clemson,27,South Carolina,20,2002
223572641,12/23/2002,Texas Tech,55,Clemson,15,2002
222572230,9/14/2002,Fordham,40,Colgate,31,2002
222642142,9/21/2002,Colgate,30,Dartmouth,26,2002
222712142,9/28/2002,Colgate,38,Columbia,6,2002
222850163,10/12/2002,Princeton,14,Colgate,10,2002
222920172,10/19/2002,Cornell,13,Colgate,42,2002
222990119,10/26/2002,Towson,7,Colgate,9,2002
223062142,11/2/2002,Colgate,31,Lafayette,24,2002
223132329,11/9/2002,Lehigh,14,Colgate,28,2002
223202142,11/16/2002,Colgate,44,Georgetown,22,2002
223272142,11/23/2002,Colgate,25,Holy Cross,20,2002
222430038,8/31/2002,Colorado,14,Colorado State,19,2002
222500038,9/7/2002,Colorado,34,San Diego State,14,2002
222570038,9/14/2002,Colorado,3,USC,40,2002
222640026,9/21/2002,UCLA,17,Colorado,31,2002
222780038,10/5/2002,Colorado,35,Kansas State,31,2002
222852305,10/12/2002,Kansas,29,Colorado,53,2002
222990038,10/26/2002,Colorado,37,Texas Tech,13,2002
223060201,11/2/2002,Oklahoma,27,Colorado,11,2002
223130142,11/9/2002,Missouri,35,Colorado,42,2002
223200038,11/16/2002,Colorado,41,Iowa State,27,2002
223330158,11/29/2002,Nebraska,13,Colorado,28,2002
223410038,12/7/2002,Colorado,7,Oklahoma,29,2002
223620275,12/28/2002,Wisconsin,31,Colorado,28,2002
222340258,8/22/2002,Virginia,29,Colorado State,35,2002
222500026,9/7/2002,UCLA,30,Colorado State,19,2002
222570036,9/14/2002,Colorado State,36,Louisville,33,2002
222712440,9/28/2002,Nevada,28,Colorado State,32,2002
222770278,10/4/2002,Fresno State,32,Colorado State,30,2002
222850036,10/12/2002,Colorado State,44,Wyoming,36,2002
222920254,10/19/2002,Utah,20,Colorado State,28,2002
223200021,11/16/2002,San Diego State,21,Colorado State,49,2002
223270036,11/23/2002,Colorado State,22,New Mexico,14,2002
223340036,11/30/2002,Colorado State,33,UNLV,36,2002
223650036,12/31/2002,Colorado State,3,TCU,17,2002
222640171,9/21/2002,Columbia,13,Fordham,11,2002
222780171,10/5/2002,Columbia,32,Princeton,35,2002
222850171,10/12/2002,Columbia,21,Lafayette,28,2002
222990171,10/26/2002,Columbia,23,Dartmouth,24,2002
223060043,11/2/2002,Yale,35,Columbia,7,2002
223130108,11/9/2002,Harvard,28,Columbia,7,2002
223200171,11/16/2002,Columbia,14,Cornell,17,2002
222500041,9/7/2002,Connecticut,14,Georgia Tech,31,2002
222640041,9/21/2002,Connecticut,37,Ohio,19,2002
222782390,10/5/2002,Miami (FL),48,Connecticut,14,2002
222920041,10/19/2002,Connecticut,24,Temple,38,2002
222990238,10/26/2002,Vanderbilt,28,Connecticut,24,2002
223060041,11/2/2002,Connecticut,61,Florida Atl,14,2002
223130041,11/9/2002,Connecticut,63,Kent State,21,2002
223202426,11/16/2002,Navy,0,Connecticut,38,2002
223270066,11/23/2002,Iowa State,20,Connecticut,37,2002
222710172,9/28/2002,Cornell,23,Yale,50,2002
222780172,10/5/2002,Cornell,34,Towson,31,2002
222850108,10/12/2002,Harvard,52,Cornell,23,2002
223060172,11/2/2002,Cornell,25,Princeton,32,2002
223130172,11/9/2002,Cornell,21,Dartmouth,19,2002
222710159,9/28/2002,Dartmouth,26,New Hampshire,29,2002
222920159,10/19/2002,Dartmouth,44,Holy Cross,36,2002
223060159,11/2/2002,Dartmouth,26,Harvard,31,2002
223270163,11/23/2002,Princeton,38,Dartmouth,30,2002
222572166,9/14/2002,Davidson,28,Jacksonville,10,2002
222642444,9/21/2002,Newberry,7,Davidson,34,2002
222712166,9/28/2002,Davidson,44,Emory & Henry,7,2002
222782166,10/5/2002,Davidson,7,Morehead State,39,2002
222922674,10/19/2002,Valparaiso,32,Davidson,49,2002
222992166,10/26/2002,Davidson,31,Wesley College,0,2002
222572168,9/14/2002,Dayton,24,Robert Morris,10,2002
222712168,9/28/2002,Dayton,28,Duquesne,35,2002
222922168,10/19/2002,Dayton,35,Drake,7,2002
222992838,10/26/2002,Tiffin,20,Dayton,35,2002
223062168,11/2/2002,Dayton,42,Canisius,6,2002
223132168,11/9/2002,Dayton,30,Morehead State,20,2002
223200301,11/16/2002,San Diego,17,Dayton,27,2002
222780048,10/5/2002,Delaware,27,Northeastern,10,2002
222920227,10/19/2002,Rhode Island,17,Delaware,14,2002
223060113,11/2/2002,Massachusetts,17,Delaware,7,2002
223130311,11/9/2002,Maine,13,Delaware,37,2002
223270048,11/23/2002,Delaware,34,Villanova,38,2002
222782169,10/5/2002,Delaware State,13,Hampton,44,2002
223270047,11/23/2002,Howard,7,Delaware State,14,2002
222782181,10/5/2002,Drake,52,Valparaiso,35,2002
223062181,11/2/2002,Drake,46,San Diego,51,2002
222430150,8/31/2002,Duke,23,East Carolina,16,2002
222500150,9/7/2002,Duke,3,Louisville,40,2002
222570077,9/14/2002,Northwestern,26,Duke,21,2002
222640052,9/21/2002,Florida State,48,Duke,17,2002
222712426,9/28/2002,Navy,17,Duke,43,2002
222780150,10/5/2002,Duke,22,Virginia,27,2002
222850154,10/12/2002,Wake Forest,36,Duke,10,2002
222920152,10/19/2002,NC State,24,Duke,22,2002
222990150,10/26/2002,Duke,12,Maryland,45,2002
223200059,11/16/2002,Georgia Tech,17,Duke,2,2002
223270150,11/23/2002,Duke,21,North Carolina,23,2002
222572561,9/14/2002,Siena,7,Duquesne,17,2002
222642184,9/21/2002,Duquesne,36,Marist,0,2002
222992325,10/26/2002,La Salle,0,Duquesne,46,2002
223062184,11/2/2002,Duquesne,59,Iona,10,2002
223202184,11/16/2002,Duquesne,27,Fairfield,0,2002
222500154,9/7/2002,Wake Forest,27,East Carolina,22,2002
222570151,9/14/2002,East Carolina,24,Tulane,20,2002
222710277,9/28/2002,West Virginia,37,East Carolina,17,2002
222920151,10/19/2002,East Carolina,30,South Florida,46,2002
222990097,10/26/2002,Louisville,44,East Carolina,20,2002
223130248,11/9/2002,Houston,48,East Carolina,54,2002
223200005,11/16/2002,UAB,36,East Carolina,29,2002
223270151,11/23/2002,East Carolina,31,TCU,28,2002
223342572,11/30/2002,Southern Miss,24,East Carolina,7,2002
222430062,8/31/2002,Hawaii,61,Eastern Illinois,36,2002
222572306,9/14/2002,Kansas State,63,Eastern Illinois,13,2002
222430127,8/31/2002,Michigan State,56,Eastern Michigan,7,2002
222640120,9/21/2002,Maryland,45,Eastern Michigan,3,2002
222430057,8/31/2002,Florida,51,UAB,3,2002
222500057,9/7/2002,Florida,16,Miami (FL),41,2002
222570057,9/14/2002,Florida,34,Ohio,6,2002
222642633,9/21/2002,Tennessee,13,Florida,30,2002
222710057,9/28/2002,Florida,41,Kentucky,34,2002
222780145,10/5/2002,Ole Miss,17,Florida,14,2002
222850057,10/12/2002,Florida,7,LSU,36,2002
223060061,11/2/2002,Georgia,13,Florida,20,2002
223130238,11/9/2002,Vanderbilt,17,Florida,21,2002
223200057,11/16/2002,Florida,28,South Carolina,7,2002
223340052,11/30/2002,Florida State,31,Florida,14,2002
230010057,1/1/2003,Florida,30,Michigan,38,2002
222432390,8/31/2002,Miami (FL),63,Florida A&M,17,2002
222992450,10/26/2002,Norfolk State,31,Florida A&M,34,2002
223060050,11/2/2002,Florida A&M,25,Hampton,13,2002
223132653,11/9/2002,Troy,24,Florida A&M,7,2002
222782447,10/5/2002,Nicholls State,33,Florida Atlantic,22,2002
222992653,10/26/2002,Troy,21,Florida Atlantic,6,2002
222360066,8/24/2002,Iowa State,31,Florida State,38,2002
222430052,8/31/2002,Florida State,40,Virginia,19,2002
222570120,9/14/2002,Maryland,10,Florida State,37,2002
222690097,9/26/2002,Louisville,26,Florida State,20,2002
222852390,10/12/2002,Miami (FL),28,Florida State,27,2002
222990052,10/26/2002,Florida State,24,Notre Dame,34,2002
223060154,11/2/2002,Wake Forest,21,Florida State,34,2002
223130059,11/9/2002,Georgia Tech,13,Florida State,21,2002
223200052,11/16/2002,Florida State,40,North Carolina,14,2002
223270152,11/23/2002,NC State,17,Florida State,7,2002
230010052,1/1/2003,Florida State,13,Georgia,26,2002
222712217,9/28/2002,Fairfield,6,Fordham,51,2002
222780046,10/5/2002,Georgetown,10,Fordham,41,2002
223062230,11/2/2002,Fordham,23,Lehigh,26,2002
223130107,11/9/2002,Holy Cross,27,Fordham,37,2002
223202230,11/16/2002,Fordham,42,Towson,14,2002
223340111,11/30/2002,Northeastern,24,Fordham,29,2002
223410222,12/7/2002,Villanova,24,Fordham,10,2002
222350275,8/23/2002,Wisconsin,23,Fresno State,21,2002
222410278,8/29/2002,Fresno State,16,San Diego State,14,2002
222502483,9/7/2002,Oregon,28,Fresno State,24,2002
222640204,9/21/2002,Oregon State,59,Fresno State,19,2002
222710242,9/28/2002,Rice,28,Fresno State,31,2002
222850278,10/12/2002,Fresno State,30,SMU,7,2002
222980278,10/25/2002,Fresno State,21,Hawaii,31,2002
223130278,11/9/2002,Fresno State,31,Tulsa,12,2002
223200278,11/16/2002,Fresno State,38,Nevada,30,2002
223270023,11/23/2002,San Jose State,16,Fresno State,19,2002
223392348,12/5/2002,Louisiana Tech,13,Fresno State,45,2002
223650278,12/31/2002,Fresno State,30,Georgia Tech,21,2002
222500238,9/7/2002,Vanderbilt,49,Furman,18,2002
222640257,9/21/2002,Richmond,7,Furman,17,2002
222712678,9/28/2002,VMI,28,Furman,55,2002
223202747,11/16/2002,Wofford,21,Furman,23,2002
223340222,11/30/2002,Villanova,45,Furman,38,2002
222640046,9/21/2002,Georgetown,21,Fairfield,3,2002
222920322,10/19/2002,Lafayette,35,Georgetown,17,2002
223060046,11/2/2002,Georgetown,24,Marist,17,2002
222572579,9/14/2002,South Carolina,7,Georgia,13,2002
222640061,9/21/2002,Georgia,45,Northwestern St,7,2002
222710061,9/28/2002,Georgia,41,New Mexico St,10,2002
222850061,10/12/2002,Georgia,18,Tennessee,13,2002
222920061,10/19/2002,Georgia,48,Vanderbilt,17,2002
222990096,10/26/2002,Kentucky,24,Georgia,52,2002
223130061,11/9/2002,Georgia,31,Ole Miss,17,2002
223340061,11/30/2002,Georgia,51,Georgia Tech,7,2002
222640290,9/21/2002,Georgia Southern,7,Wofford,14,2002
222430059,8/31/2002,Georgia Tech,45,Vanderbilt,3,2002
222710153,9/28/2002,North Carolina,13,Georgia Tech,21,2002
222780059,10/5/2002,Georgia Tech,21,Wake Forest,24,2002
222900120,10/17/2002,Maryland,34,Georgia Tech,10,2002
222990059,10/26/2002,Georgia Tech,23,Virginia,15,2002
223060152,11/2/2002,NC State,17,Georgia Tech,24,2002
223202417,11/16/2002,Morris Brown,36,Grambling State,64,2002
222572261,9/14/2002,Hampton,51,Howard,2,2002
222640108,9/21/2002,Harvard,28,Holy Cross,23,2002
222782329,10/5/2002,Lehigh,36,Harvard,35,2002
222920108,10/19/2002,Harvard,14,Northeastern,17,2002
222990163,10/26/2002,Princeton,17,Harvard,24,2002
223200219,11/16/2002,Pennsylvania,44,Harvard,9,2002
223270108,11/23/2002,Harvard,20,Yale,13,2002
222642638,9/21/2002,UTEP,6,Hawaii,31,2002
222710062,9/28/2002,Hawaii,42,SMU,10,2002
222850062,10/12/2002,Hawaii,59,Nevada,34,2002
222920062,10/19/2002,Hawaii,37,Tulsa,14,2002
223060062,11/2/2002,Hawaii,40,San Jose State,31,2002
223200242,11/16/2002,Rice,28,Hawaii,33,2002
223410062,12/7/2002,Hawaii,41,San Diego State,40,2002
223590062,12/25/2002,Hawaii,28,Tulane,36,2002
222710107,9/28/2002,Holy Cross,10,Towson,42,2002
222780043,10/5/2002,Yale,28,Holy Cross,19,2002
222990107,10/26/2002,Holy Cross,12,Lehigh,21,2002
223200322,11/16/2002,Lafayette,42,Holy Cross,13,2002
222430242,8/31/2002,Rice,10,Houston,24,2002
222500248,9/7/2002,Houston,13,Tulane,34,2002
222570248,9/14/2002,Houston,36,LA-Lafayette,17,2002
222640251,9/21/2002,Texas,41,Houston,11,2002
222782628,10/5/2002,TCU,34,Houston,17,2002
222850005,10/12/2002,UAB,51,Houston,34,2002
223060235,11/2/2002,Memphis,21,Houston,26,2002
223270248,11/23/2002,Houston,14,South Florida,32,2002
223340248,11/30/2002,Houston,27,Louisville,10,2002
222640047,9/21/2002,Howard,12,Maine,42,2002
222920047,10/19/2002,Howard,20,Morgan State,38,2002
223060047,11/2/2002,Howard,21,Norfolk State,0,2002
222500265,9/7/2002,Washington St,49,Idaho,14,2002
222572483,9/14/2002,Oregon,58,Idaho,21,2002
222640070,9/21/2002,Idaho,48,San Diego State,38,2002
222710264,9/28/2002,Washington,41,Idaho,27,2002
222780070,10/5/2002,Idaho,31,Montana,38,2002
223130249,11/9/2002,North Texas,10,Idaho,0,2002
223270070,11/23/2002,Idaho,31,New Mexico St,35,2002
222640149,9/21/2002,Montana,13,Idaho State,9,2002
222990304,10/26/2002,Idaho State,34,Weber State,0,2002
223062502,11/2/2002,Portland State,27,Idaho State,24,2002
222502572,9/7/2002,Southern Miss,23,Illinois,20,2002
222640356,9/21/2002,Illinois,35,San Jose State,38,2002
